13.5788;8.0700;336.5925;8.0000;9.5897;4.6358;142.6645;8.0000;14.1015;11.1712;272.3871;8.0000;19.2486;10.7013;346.9932;8.0000;2.3125;1.0290;109.5656;8.0000;11.6038;10.6193;324.4349;8.0000;10.8110;8.6396;195.3601;8.0000;14.2483;16.0184;51.3034;8.0000
13.7012;8.0171;336.5925;8.0000;9.4837;4.7167;142.6645;8.0000;14.1071;11.0380;272.3871;8.0000;19.3215;10.6713;193.0068;8.0000;2.2679;1.1546;109.5656;8.0000;11.7123;10.5417;324.4349;8.0000;10.6824;8.6043;195.3601;8.0000;14.3317;16.1225;51.3034;8.0000
13.8235;7.9641;336.5925;8.0000;9.3777;4.7976;142.6645;8.0000;14.1127;10.9047;272.3871;8.0000;19.1915;10.6413;193.0068;8.0000;2.2232;1.2802;109.5656;8.0000;11.8208;10.4642;324.4349;8.0000;10.5539;8.5690;195.3601;8.0000;14.4150;16.2265;51.3034;8.0000
13.9459;7.9111;336.5925;8.0000;9.2717;4.8784;142.6645;8.0000;14.1182;10.7715;272.3871;8.0000;19.0616;10.6113;193.0068;8.0000;2.1786;1.4059;109.5656;8.0000;11.9292;10.3866;324.4349;8.0000;10.4253;8.5337;195.3601;8.0000;14.4984;16.3306;51.3034;8.0000
14.0683;7.8582;336.5925;8.0000;9.1656;4.9593;142.6645;8.0000;14.1238;10.6383;272.3871;8.0000;18.9317;10.5813;193.0068;8.0000;2.1339;1.5315;109.5656;8.0000;12.0377;10.3091;324.4349;8.0000;10.2967;8.4983;195.3601;8.0000;14.5817;16.4347;51.3034;8.0000
14.1906;7.8052;336.5925;8.0000;9.0596;5.0402;142.6645;8.0000;14.1293;10.5051;272.3871;8.0000;18.8018;10.5513;193.0068;8.0000;2.0893;1.6571;109.5656;8.0000;12.1461;10.2315;324.4349;8.0000;10.1682;8.4630;195.3601;8.0000;14.6651;16.5387;51.3034;8.0000
14.3130;7.7522;336.5925;8.0000;8.9536;5.1210;142.6645;8.0000;14.1349;10.3719;272.3871;8.0000;18.6719;10.5213;193.0068;8.0000;2.0446;1.7828;109.5656;8.0000;12.2546;10.1540;324.4349;8.0000;10.0396;8.4277;195.3601;8.0000;14.7485;16.6428;51.3034;8.0000
14.4353;7.6992;336.5925;8.0000;8.8476;5.2019;142.6645;8.0000;14.1404;10.2387;272.3871;8.0000;18.5420;10.4913;193.0068;8.0000;2.0000;1.9084;109.5656;8.0000;12.3631;10.0764;324.4349;8.0000;9.9110;8.3924;195.3601;8.0000;14.8318;16.7469;51.3034;8.0000
14.5577;7.6463;336.5925;8.0000;8.7416;5.2827;142.6645;8.0000;14.1460;10.1054;272.3871;8.0000;18.4121;10.4613;193.0068;8.0000;1.9553;2.0340;109.5656;8.0000;12.4715;9.9989;324.4349;8.0000;9.7824;8.3571;195.3601;8.0000;14.9152;16.8509;51.3034;8.0000
14.6801;7.5933;336.5925;8.0000;8.6356;5.3636;142.6645;8.0000;14.1515;9.9722;272.3871;8.0000;18.2822;10.4313;193.0068;8.0000;1.9107;2.1597;109.5656;8.0000;12.5800;9.9213;324.4349;8.0000;9.6539;8.3218;195.3601;8.0000;14.9985;16.9550;51.3034;8.0000
14.8024;7.5403;336.5925;8.0000;8.5296;5.4445;142.6645;8.0000;14.1571;9.8390;272.3871;8.0000;18.1522;10.4013;193.0068;8.0000;1.8660;2.2853;109.5656;8.0000;12.6884;9.8438;324.4349;8.0000;9.5253;8.2864;195.3601;8.0000;15.0819;17.0590;51.3034;8.0000
14.9248;7.4874;336.5925;8.0000;8.4235;5.5253;142.6645;8.0000;14.1626;9.7058;272.3871;8.0000;18.0223;10.3712;193.0068;8.0000;1.8214;2.4109;109.5656;8.0000;12.7969;9.7662;324.4349;8.0000;9.3967;8.2511;195.3601;8.0000;15.1653;17.1631;51.3034;8.0000
15.0471;7.4344;336.5925;8.0000;8.3175;5.6062;142.6645;8.0000;14.1682;9.5726;272.3871;8.0000;17.8924;10.3412;193.0068;8.0000;1.7767;2.5366;109.5656;8.0000;12.9054;9.6887;324.4349;8.0000;9.2682;8.2158;195.3601;8.0000;15.2486;17.2672;51.3034;8.0000
15.1695;7.3814;336.5925;8.0000;8.2115;5.6871;142.6645;8.0000;14.1737;9.4394;272.3871;8.0000;17.7625;10.3112;193.0068;8.0000;1.7320;2.6622;109.5656;8.0000;13.0138;9.6111;324.4349;8.0000;9.1396;8.1805;195.3601;8.0000;15.3320;17.3712;51.3034;8.0000
15.2919;7.3285;336.5925;8.0000;8.1055;5.7679;142.6645;8.0000;14.1793;9.3061;272.3871;8.0000;17.6326;10.2812;193.0068;8.0000;1.6874;2.7878;109.5656;8.0000;13.1223;9.5336;324.4349;8.0000;9.0110;8.1452;195.3601;8.0000;15.4153;17.4753;51.3034;8.0000
15.4142;7.2755;336.5925;8.0000;7.9995;5.8488;142.6645;8.0000;14.1848;9.1729;272.3871;8.0000;17.5027;10.2512;193.0068;8.0000;1.6427;2.9135;109.5656;8.0000;13.2307;9.4560;324.4349;8.0000;8.8824;8.1098;195.3601;8.0000;15.4987;17.5794;51.3034;8.0000
15.5366;7.2225;336.5925;8.0000;7.8935;5.9297;142.6645;8.0000;14.1904;9.0397;272.3871;8.0000;17.3728;10.2212;193.0068;8.0000;1.5981;3.0391;109.5656;8.0000;13.3392;9.3785;324.4349;8.0000;8.7539;8.0745;195.3601;8.0000;15.5820;17.6834;51.3034;8.0000
