Filename,Mean intensity (dB),Max intensity (dB),Min intensity (dB),SD intensity (dB)
Female_happiness-1-changeformants.wav ',' 63.1671477948796 ',' 85.7737971696818 ',' 22.51867181020322 ',' 17.108862355658665 ',' 
Female_happiness-1-newpitchmedian_327_2759597406792-newduration_1_4846666666666668.wav ',' 61.219887284208546 ',' 85.19951145109815 ',' 19.601757082841278 ',' 18.544583631842404 ',' 
Female_happiness-1.wav ',' 62.91510266073071 ',' 85.51049254783416 ',' 22.57873756502456 ',' 17.332340071613224 ',' 
Female_happiness-2-changeformants.wav ',' 70.95498639613696 ',' 85.35723513098127 ',' 31.263695288169963 ',' 15.61670454034085 ',' 
Female_happiness-2-newpitchmedian_301_6426198370471-newduration_0_5783125.wav ',' 70.53067496311105 ',' 85.12701557529104 ',' 30.35477406032731 ',' 15.820472620205452 ',' 
Female_happiness-2.wav ',' 70.65947764835404 ',' 85.56407554003862 ',' 30.856914221116565 ',' 15.950125871188904 ',' 
