Filename,Median pitch(Hz),Mean pitch(Hz),Min pitch(Hz),Max pitch(Hz),SD pitch(Hz),Duration (s)
Female_happiness-1-changeformants.wav ',' 311.54231753452876 ',' 314.81041966294123 ',' 198.68241523409225  ',' 491.86667014627926  ',' 86.58352500705429 ',' 1.1846666666666668, 
Female_happiness-1-newpitchmedian_327_2759597406792-newduration_1_4846666666666668.wav ',' 328.06318533848946 ',' 334.12863135180805 ',' 209.0638520111518  ',' 512.6918541327599  ',' 90.94122308137624 ',' 1.4846666666666666, 
Female_happiness-1.wav ',' 310.7991364334012 ',' 314.1534420856712 ',' 197.13274493308234  ',' 489.50237501788195  ',' 86.58547935868722 ',' 1.1846666666666668, 
Female_happiness-2-changeformants.wav ',' 302.7741745407833 ',' 306.9396954463682 ',' 202.42639242984612  ',' 384.11916782627344  ',' 42.08924710415224 ',' 0.7783125, 
Female_happiness-2-newpitchmedian_301_6426198370471-newduration_0_5783125.wav ',' 299.7880623999264 ',' 306.0638908114869 ',' 232.38939329762172  ',' 380.2163809415814  ',' 39.579710029002776 ',' 0.5783125, 
Female_happiness-2.wav ',' 301.0766031897966 ',' 304.14070531250394 ',' 191.05943408170222  ',' 384.52747628677884  ',' 45.91665318529956 ',' 0.7783125, 
