Filename,Jitter local,Jitter local absolute (sec),Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local (dB),Shimmer rapq3,Shimmer rapq5,Shimmer rapq11,Shimmer dda,Mean HNR (dB),SD HNR,Min HNR (dB),Max HNR (dB),
Female_happiness-1-changeformants.wav ','  0.020170273839707424 ',' 6.46053332365421e-05 ',' 0.008999923205398238 ',' 0.009816458896573867 ',' 0.026999769616194713 ',' 0.11129674549670393 ',' 0.9854809333131598 ',' 0.04691562468977237 ',' 0.0656900181177978 ',' 0.10321237879450455 ',' 0.1407468740693171 ',' 10.046571845437358 ',' 7.509948428415391 ',' -226.90793011993884 ',' 33.75808479444879 ',' 
Female_happiness-1-newpitchmedian_327_2759597406792-newduration_1_4846666666666668.wav ','  0.014579655090942797 ',' 4.3871389301566373e-05 ',' 0.005155115575641232 ',' 0.005982451667368524 ',' 0.015465346726923696 ',' 0.05416078233570127 ',' 0.5889259103221451 ',' 0.02387226843833046 ',' 0.02977688163704196 ',' 0.04116410399420411 ',' 0.07161680531499139 ',' 11.184963032316151 ',' 8.715745951168792 ',' -227.20779793849624 ',' 35.331545051403296 ',' 
Female_happiness-1.wav ','  0.015405610663510535 ',' 4.90802767223555e-05 ',' 0.005628445658569145 ',' 0.006635148494675297 ',' 0.016885336975707432 ',' 0.06733589466431028 ',' 0.6905876739352402 ',' 0.022246654388002815 ',' 0.0260490203125574 ',' 0.048121761839782395 ',' 0.06673996316400845 ',' 9.923427324228589 ',' 7.967364249402641 ',' -227.20100599242159 ',' 35.78344721440324 ',' 
Female_happiness-2-changeformants.wav ','  0.02987143659054053 ',' 9.765005336375634e-05 ',' 0.016276130391651256 ',' 0.01438030282997537 ',' 0.04882839117495377 ',' 0.10923461319040004 ',' 1.0190014260724385 ',' 0.049592141446454324 ',' 0.056065831103000084 ',' 0.08923138644737855 ',' 0.14877642433936297 ',' 10.142045630459322 ',' 3.973576100156793 ',' -226.63287610222355 ',' 30.292490463599176 ',' 
Female_happiness-2-newpitchmedian_301_6426198370471-newduration_0_5783125.wav ','  0.01706211388767283 ',' 5.5787071821754e-05 ',' 0.005049859874706557 ',' 0.0059496342878162444 ',' 0.015149579624119669 ',' 0.08164834993594162 ',' 0.7367762515495406 ',' 0.025728980716497058 ',' 0.03746647809648396 ',' 0.09768845717438751 ',' 0.07718694214949118 ',' 9.585220543841015 ',' 3.8859185987643086 ',' -226.63984697936158 ',' 38.01226112352447 ',' 
Female_happiness-2.wav ','  0.020029345582097915 ',' 6.581900227395856e-05 ',' 0.007201339110055017 ',' 0.007647866184341693 ',' 0.02160401733016505 ',' 0.0729501519628922 ',' 0.676085469459293 ',' 0.02085807393043754 ',' 0.029732407407068347 ',' 0.07514788171046127 ',' 0.06257422179131263 ',' 9.999022381992006 ',' 4.666293521887096 ',' -226.57375023815877 ',' 31.56276729081828 ',' 
