Filename,F1,F2,F3,F4,F5,B1,B2,B3,B4,B5,
Female_happiness-1-changeformants.wav ',' 705.4265960417057 ',' 1493.912023254281 ',' 2438.344002334205 ',' 4266.28147927518 ',' 4914.688782144661 ',' 387.5733866962249 ',' 428.13731804502225 ',' 356.29174659139613 ',' 286.6072690378015 ',' --undefined-- ',' 
Female_happiness-1-newpitchmedian_327_2759597406792-newduration_1_4846666666666668.wav ',' 745.0159255624037 ',' 1913.3634979322737 ',' 3136.181309650559 ',' 4255.930769892785 ',' 4807.515040063887 ',' 150.35339415656125 ',' 76.17970270479421 ',' 356.61116681709024 ',' 213.02831563884655 ',' --undefined-- ',' 
Female_happiness-1.wav ',' 747.2163996399122 ',' 1931.1182371818609 ',' 3173.53624646938 ',' 4308.872085523161 ',' 4802.671132220426 ',' 134.5423064173014 ',' 79.08928728575542 ',' 190.47163589510117 ',' 223.3728291292523 ',' --undefined-- ',' 
Female_happiness-2-changeformants.wav ',' 607.2975334693741 ',' 1456.500556117609 ',' 2274.069123116824 ',' 4271.94364793792 ',' 5091.206527426762 ',' 1921.2974005117483 ',' 807.3034177815417 ',' 766.846697577918 ',' 696.225549056462 ',' --undefined-- ',' 
Female_happiness-2-newpitchmedian_301_6426198370471-newduration_0_5783125.wav ',' 621.5504608456197 ',' 2033.5553427834584 ',' 3209.1810354864274 ',' 4342.2561883248645 ',' 5041.391185259773 ',' 1012.1859484603741 ',' 607.452719458948 ',' 625.138648603743 ',' 628.8571498625951 ',' --undefined-- ',' 
Female_happiness-2.wav ',' 630.6204581824231 ',' 1997.22210286092 ',' 3187.658168857511 ',' 4350.452637402257 ',' 4956.654618554136 ',' 1928.9951940634344 ',' 810.4146879938871 ',' 773.3283258121861 ',' 705.4813791354661 ',' --undefined-- ',' 
