key_resp_instr.keys,key_resp_instr.rt,escribir.response,dibujar.response,lanzar.response,tijeras.response,cepillo.response,cuchillo.response,cuchara.response,escoba.response,fosforo.response,caja.response,key_resp_instr_2.keys,key_resp_instr_2.rt,gracias.started,gracias.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,2.3988969000056386,,,,,,,,,,,,,,,,,,,Participant01,001,2024_May_28_1617,Handedness,3.2.4,59.93874258521231,
,,"Usualmente 
izquierda","Siempre 
izquierda","Siempre 
izquierda","Usualmente 
izquierda","Siempre 
izquierda","Usualmente 
derecha","Usualmente 
izquierda","Usualmente 
izquierda","Usualmente 
izquierda","Usualmente 
izquierda",,,,,,,,,Participant01,001,2024_May_28_1617,Handedness,3.2.4,59.93874258521231,
,,,,,,,,,,,,space,25.5909677001182,,,,,,,Participant01,001,2024_May_28_1617,Handedness,3.2.4,59.93874258521231,
,,,,,,,,,,,,,,39.55505419988185,None,space,0.7948737998958677,39.55505419988185,None,Participant01,001,2024_May_28_1617,Handedness,3.2.4,59.93874258521231,
